train,test
0.9516943042537851,0.8005780346820809
1.0,0.7630057803468208
1.0,0.7456647398843931
1.0,0.7167630057803468
1.0,0.6705202312138728
1.0,0.6791907514450867
1.0,0.6589595375722543
1.0,0.6473988439306358
1.0,0.6445086705202312
1.0,0.653179190751445
1.0,0.653179190751445
1.0,0.6676300578034682
1.0,0.6271676300578035
1.0,0.6734104046242775
1.0,0.6445086705202312
1.0,0.6358381502890174
1.0,0.6184971098265896
1.0,0.638728323699422
1.0,0.5578034682080925
1.0,0.5895953757225434
1.0,0.6040462427745664
1.0,0.5924855491329479
1.0,0.5895953757225434
0.9942321557317952,0.6011560693641619
1.0,0.5953757225433526
1.0,0.6040462427745664
1.0,0.5780346820809249
1.0,0.6040462427745664
1.0,0.5549132947976878
1.0,0.5982658959537572
1.0,0.5953757225433526
1.0,0.5953757225433526
