train,test
0.9775,0.7583333333333333
1.0,0.7183333333333334
1.0,0.6666666666666666
1.0,0.66
1.0,0.6166666666666667
1.0,0.6016666666666667
1.0,0.5833333333333334
1.0,0.5633333333333334
1.0,0.5583333333333333
1.0,0.5633333333333334
1.0,0.56
1.0,0.5533333333333333
1.0,0.5233333333333333
1.0,0.5483333333333333
1.0,0.54
1.0,0.545
0.9991666666666666,0.52
1.0,0.53
1.0,0.5166666666666667
1.0,0.5283333333333333
1.0,0.5083333333333333
1.0,0.5333333333333333
1.0,0.49833333333333335
0.995,0.5166666666666667
0.9916666666666667,0.5266666666666666
0.9933333333333333,0.5166666666666667
1.0,0.515
0.9875,0.5316666666666666
0.97375,0.515
0.9941666666666666,0.5316666666666666
0.9916666666666667,0.5216666666666666
1.0,0.5366666666666666
