layer,prob_avg,logprob_avg
layer_0,0.6816191256046296,5.28938725789388
layer_1,0.681716226041317,5.13118413289388
layer_2,0.6837437719106674,5.161831919352213
layer_3,0.6820155451695125,5.061815643310547
layer_4,0.6816433429718017,5.117251841227214
layer_5,0.6817978312571843,4.93128178914388
layer_6,0.6822384695212046,5.22171147664388
layer_7,0.6830006370941798,5.11013921101888
layer_8,0.6756050621469816,4.386701711018881
layer_9,0.6636390457550685,4.335375213623047
layer_10,0.6442952404419581,4.1440584818522135
layer_11,0.4726506640513738,2.565357716878255
layer_12,0.4201733042796453,2.4117973327636717
layer_13,0.30386339922746025,1.6382581075032552
layer_14,0.15443939864635467,0.9739028930664062
layer_15,0.12244254251321157,0.7929361979166667
layer_16,0.031040923794110616,0.30873743693033856
layer_17,0.02057318389415741,0.31717987060546876
layer_18,0.03996221125125885,0.48135706583658855
layer_19,0.025559428334236144,0.33121376037597655
layer_20,0.03468909362951914,0.4501060485839844
layer_21,0.03142204682032267,0.3140411376953125
layer_22,0.04236675997575124,0.39948348999023436
layer_23,0.04243402381738027,0.3772570292154948
layer_24,0.03478565116723378,0.2897404988606771
layer_25,0.033365747332572936,0.2340733846028646
layer_26,0.030477238694826762,0.16261393229166668
layer_27,0.02436076899369558,0.11776453653971354
layer_28,0.015683109561602276,0.069281005859375
layer_29,0.020469831426938374,0.05026957194010417
layer_30,0.012347887953122456,-0.1526281992594401
layer_31,0.02673815886179606,0.012428665161132812
