train,test
0.5583333333333333,0.5266666666666666
0.5416666666666666,0.51
0.56375,0.52
0.5729166666666666,0.5333333333333333
0.5829166666666666,0.5416666666666666
0.5545833333333333,0.5033333333333333
0.63,0.5833333333333334
0.6233333333333333,0.5433333333333333
0.6479166666666667,0.5666666666666667
0.6295833333333334,0.5716666666666667
0.6595833333333333,0.5583333333333333
0.6875,0.605
0.6704166666666667,0.5966666666666667
0.6754166666666667,0.5816666666666667
0.6933333333333334,0.5883333333333334
0.70875,0.6116666666666667
0.7320833333333333,0.6216666666666667
0.7291666666666666,0.615
0.7183333333333334,0.6233333333333333
0.7404166666666666,0.615
0.7566666666666667,0.5816666666666667
0.7766666666666666,0.5916666666666667
0.7754166666666666,0.59
0.7591666666666667,0.6
0.7795833333333333,0.6016666666666667
0.77875,0.605
0.7916666666666666,0.6283333333333333
0.77125,0.5966666666666667
0.755,0.5716666666666667
0.7825,0.6
0.7741666666666667,0.585
0.79875,0.59
