train,test
0.4525,0.445
0.53625,0.43
0.53125,0.515
0.575,0.525
0.61125,0.54
0.66625,0.6
0.695,0.62
0.7,0.545
0.7025,0.645
0.7175,0.62
0.7825,0.68
0.71375,0.65
0.835,0.695
0.86375,0.69
0.82875,0.705
0.865,0.675
0.85125,0.69
0.8875,0.735
0.9025,0.695
0.92625,0.63
0.915,0.695
0.91625,0.665
0.8975,0.685
0.91875,0.695
0.80125,0.645
0.9275,0.725
0.9175,0.735
0.925,0.705
0.9425,0.675
0.93875,0.65
0.925,0.625
0.88375,0.655
