train,test
0.40125,0.39
0.5570833333333334,0.535
0.5433333333333333,0.49666666666666665
0.5520833333333334,0.5133333333333333
0.56,0.5033333333333333
0.62875,0.535
0.655,0.5616666666666666
0.6191666666666666,0.5566666666666666
0.65125,0.5666666666666667
0.6775,0.5533333333333333
0.65375,0.5666666666666667
0.6829166666666666,0.5533333333333333
0.6720833333333334,0.585
0.67375,0.5583333333333333
0.7316666666666667,0.5733333333333334
0.725,0.595
0.7266666666666667,0.5666666666666667
0.7404166666666666,0.595
0.765,0.5816666666666667
0.7466666666666667,0.6016666666666667
0.7695833333333333,0.5783333333333334
0.7770833333333333,0.565
0.76375,0.5966666666666667
0.78875,0.5716666666666667
0.7666666666666667,0.595
0.7816666666666666,0.625
0.7841666666666667,0.605
0.8129166666666666,0.5883333333333334
0.7925,0.585
0.77625,0.5916666666666667
0.785,0.5966666666666667
0.7108333333333333,0.5683333333333334
