train,test
0.9966666666666667,0.755
1.0,0.7066666666666667
1.0,0.6816666666666666
1.0,0.6233333333333333
1.0,0.6
1.0,0.585
1.0,0.6033333333333334
1.0,0.5966666666666667
1.0,0.5916666666666667
1.0,0.5733333333333334
1.0,0.57
1.0,0.555
1.0,0.5466666666666666
1.0,0.5616666666666666
1.0,0.5083333333333333
1.0,0.535
0.99875,0.5366666666666666
1.0,0.5133333333333333
1.0,0.5166666666666667
0.9916666666666667,0.5116666666666667
1.0,0.49666666666666665
0.9983333333333333,0.535
1.0,0.5283333333333333
1.0,0.5216666666666666
0.97625,0.5033333333333333
0.9975,0.4816666666666667
0.9475,0.4866666666666667
0.9941666666666666,0.4583333333333333
0.9741666666666666,0.5066666666666667
0.9975,0.4683333333333333
0.9891666666666666,0.47333333333333333
0.9683333333333334,0.4583333333333333
