train,test
0.3375,0.385
0.29125,0.345
0.3175,0.37
0.2975,0.325
0.33875,0.32
0.32375,0.305
0.3275,0.33
0.31875,0.295
0.31625,0.33
0.32125,0.31
0.345,0.32
0.31125,0.3
0.3375,0.325
0.325,0.275
0.3325,0.35
0.32625,0.345
0.33875,0.345
0.31875,0.365
0.36875,0.355
0.33375,0.32
0.315,0.35
0.36875,0.335
0.32625,0.325
0.3575,0.345
0.34,0.29
0.33375,0.26
0.3575,0.295
0.34625,0.305
0.335,0.36
0.33125,0.37
0.32625,0.355
0.3325,0.335
