layer,prob_avg,logprob_avg
layer_0,0.690498544772466,5.521955617268881
layer_1,0.6908154537280401,5.537841033935547
layer_2,0.6906415060162544,5.502066294352214
layer_3,0.6907319148381551,5.778791554768881
layer_4,0.6905503526329995,5.689175669352213
layer_5,0.6893669252594312,5.696092987060547
layer_6,0.6803597862521807,5.359480031331381
layer_7,0.6834951937198639,5.367292531331381
layer_8,0.6804367065429687,4.422281138102213
layer_9,0.6036449174086252,3.793248748779297
layer_10,0.5725964844226837,3.354528045654297
layer_11,0.4984434127807617,2.7936719258626304
layer_12,0.43019827802975974,2.3618573506673175
layer_13,0.32145875493685405,1.5611920674641928
layer_14,0.2233369211355845,1.1483090718587239
layer_15,0.19138756891091666,1.0703025817871095
layer_16,0.12836326162020364,0.8608940124511719
layer_17,0.06607172787189483,0.49137115478515625
layer_18,0.025165275732676188,0.41956329345703125
layer_19,0.02936855653921763,0.4231689453125
layer_20,0.011979584892590841,0.22583033243815104
layer_21,0.008320870002110799,0.1102813720703125
layer_22,0.017198539773623147,0.22272262573242188
layer_23,0.027336345116297404,0.2620964050292969
layer_24,0.013591606418291729,0.14658228556315103
layer_25,0.023343583941459654,0.29568023681640626
layer_26,0.01951707700888316,0.18860270182291666
layer_27,0.0047503352165222164,0.10796597798665365
layer_28,0.00190752645333608,0.09208323160807291
layer_29,-0.009379997849464417,-0.020305379231770834
layer_30,-0.00519705315430959,-0.06939544677734374
layer_31,0.005674769481023152,0.05912946065266927
