train,test
0.33625,0.34
0.36625,0.305
0.33125,0.29
0.31875,0.36
0.3375,0.33
0.31625,0.355
0.32125,0.305
0.33375,0.315
0.32375,0.27
0.3225,0.3
0.335,0.35
0.33,0.295
0.3175,0.325
0.315,0.345
0.3325,0.31
0.305,0.31
0.30375,0.36
0.31125,0.295
0.30875,0.325
0.335,0.305
0.33625,0.28
0.33125,0.285
0.33875,0.305
0.33625,0.355
0.33375,0.325
0.31125,0.315
0.3525,0.33
0.34125,0.32
0.32125,0.365
0.31,0.26
0.32125,0.32
0.31875,0.29
