layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.429130748356923,-0.018477203232226985,0.44760795158915,4.715621797165068,0.39755762685643564,4.318064170308633
layer_1,0.43185673314746065,-0.01752799336272891,0.44938472651018957,5.708892217957147,0.6547899907178217,5.0541022272393255
layer_2,0.43260608923317184,-0.019450751861723344,0.4520568410948952,5.013154284788831,-1.7597366181930694,6.772890902981899
layer_3,0.432829213024366,-0.019592897136612695,0.4524221101609787,5.777000200630415,-2.9594194771039604,8.736419677734375
layer_4,0.43841196699897844,-0.012815539199526948,0.4512275061985054,8.15041449518487,2.0464592357673266,6.1039552594175435
layer_5,0.43387992134188663,-0.018038074568946762,0.45191799591083337,7.560996178353187,0.5164081837871287,7.044587994566058
layer_6,0.4325489030025973,-0.019180814228435553,0.4517297172310329,5.5564324407294245,-1.323396890470297,6.879829331199722
layer_7,0.44777364128887065,-0.003956595269760283,0.4517302365586309,9.376416196917543,2.541141321163366,6.835274875754177
layer_8,0.4329398610804341,-0.019602931372009882,0.45254279245244394,7.496717094194771,-3.39146619740099,10.88818329159576
layer_9,0.4328970000295356,-0.019628623924633062,0.4525256239541686,7.122374581818534,-3.639493734529703,10.761868316348236
layer_10,0.43370217261928146,-0.01851187307055634,0.45221404568983775,7.905751747660117,-0.5970277691831684,8.502779516843287
layer_11,0.4328031817285141,-0.01961608629415531,0.4524192680226694,5.583196054590811,-3.417649675123762,9.000845729714573
layer_12,0.432893964913812,-0.019649067727646026,0.45254303264145807,7.421492774887841,-4.444026531559406,11.865519306447247
layer_13,0.4329551015750016,-0.019594269813877522,0.45254937138887913,9.27703887637299,-4.160339959777228,13.437378836150216
layer_14,0.43400924748713426,-0.017784980264040504,0.4517942277511748,6.078129532313583,-1.1797165068069306,7.257846039120514
layer_15,0.43849977054218253,-0.009701154609717945,0.44820092515190046,6.565907997660117,0.5888478496287128,5.977060148031405
layer_16,0.2534899988977036,-0.008860665382725178,0.26235066428042875,1.2867730773321473,-0.36109607054455445,1.6478691478767018
layer_17,0.29270509150948854,-4.203189717661036e-05,0.29274712340666514,2.267946451017172,0.28655824566831684,1.9813882053488552
layer_18,0.1801391096398382,-0.009778093583513014,0.1899172032233512,0.9442461976910582,-0.25546294863861385,1.199709146329672
layer_19,0.06404236283632789,-0.0075687417889585586,0.07161110462528644,0.41630191614132117,-0.478360922029703,0.8946628381710241
layer_20,0.048479093183385266,-0.010878623122035866,0.05935771630542113,-0.44059126447923114,-1.0449798886138615,0.6043886241346302
layer_21,0.043344559645888826,-0.006941869117245816,0.05028642876313465,0.008970732736115409,-0.5577863938737624,0.5667571266098778
layer_22,0.040555732084973026,-0.004821485812121098,0.045377217897094126,-0.24166054300742573,-0.8256014077970297,0.5839408647896039
layer_23,0.03328368628379142,-0.006536090137934921,0.03981977642172634,-0.629913858848043,-1.0570322168935644,0.42711835804552134
layer_24,0.020279404550495716,-0.007314302543602367,0.027593707094098082,-1.2461062894009127,-1.565719755569307,0.3196134661683942
layer_25,0.015584033314544376,-0.00804443642644599,0.023628469740990365,-1.2317509415126082,-1.5552918084777227,0.32354086696511447
layer_26,0.01584757672678126,-0.0068711785986872,0.02271875532546846,-1.2546598226717203,-1.4959197091584158,0.24125988648669555
layer_27,0.01888698103404281,-0.00864214295207864,0.02752912398612145,-1.328506847419361,-1.6051980198019802,0.27669117238261914
layer_28,0.008732279338458977,-0.00496382465456972,0.013696103993028697,-0.9840956584061726,-1.2402198715965347,0.256124213190362
layer_29,0.03329487897381924,-0.006134634560877734,0.039429513534696974,-0.9742350058980508,-1.2112469059405941,0.23701190004254333
layer_30,0.04019688556690027,-0.004363849021420621,0.04456073458832089,-0.4146890168142791,-0.6410987778465347,0.22640976103225557
layer_31,0.048737521808926425,0.0027175616509843583,0.04601996015794206,0.5022090496403155,0.30218324566831684,0.20002580397199876
