layer,prob_avg,logprob_avg
layer_0,0.08192133966245149,1.1811729029605262
layer_1,0.08213492004494918,1.178993626644737
layer_2,0.08014976664593346,0.7522255345394737
layer_3,0.07919221990986874,0.7484220805921052
layer_4,0.08077783019919145,0.6565018503289474
layer_5,0.07954903464568289,0.47364823190789473
layer_6,0.08154861299615157,0.9896227384868421
layer_7,0.07713275708650288,0.8570055509868421
layer_8,0.07266472891757363,0.7978155838815789
layer_9,0.03931579903552407,0.13765419407894736
layer_10,0.055125380189795244,0.4525647615131579
layer_11,0.060327989176699987,0.4142732319078947
layer_12,0.055586624145507815,0.6016190378289473
layer_13,0.03564907312393188,0.27528268914473686
layer_14,0.022189710014744807,0.09098478618421052
layer_15,0.004310796135350277,0.12506424753289475
layer_16,0.005350318080500552,0.15817228618421053
layer_17,0.006303797270122327,0.10434056332236842
layer_18,-0.0023755437449405068,0.042943050986842105
layer_19,-0.009606190104233591,0.026649876644736843
layer_20,-0.005920129700710899,-0.05201865748355263
layer_21,-0.00471352777983013,-0.040612150493421054
layer_22,-0.005727318086122211,-0.06944387335526316
layer_23,-0.004029703140258789,-0.018228310032894737
layer_24,-0.005726834974790874,-4.625822368421053e-05
layer_25,-0.0016000672390586452,0.05333316200657895
layer_26,-0.002657656293166311,0.0853515625
layer_27,-0.004289721187792327,0.04824475740131579
layer_28,-0.002690248112929495,0.002017372532894737
layer_29,-0.006229440162056371,0.004651521381578948
layer_30,-0.0021275087406760766,0.045471833881578945
layer_31,-0.0015252734485425446,0.012322676809210526
