train,test
0.5645833333333333,0.5633333333333334
0.6033333333333334,0.565
0.495,0.45166666666666666
0.5420833333333334,0.5266666666666666
0.5675,0.5466666666666666
0.57625,0.5316666666666666
0.6220833333333333,0.5833333333333334
0.64375,0.565
0.67,0.5933333333333334
0.6208333333333333,0.545
0.6941666666666667,0.5733333333333334
0.6891666666666667,0.5783333333333334
0.7070833333333333,0.6133333333333333
0.7158333333333333,0.595
0.7079166666666666,0.61
0.7083333333333334,0.58
0.7425,0.6133333333333333
0.7270833333333333,0.6116666666666667
0.7491666666666666,0.625
0.72,0.62
0.7383333333333333,0.5816666666666667
0.75875,0.6066666666666667
0.7683333333333333,0.61
0.7279166666666667,0.5883333333333334
0.7854166666666667,0.6283333333333333
0.79125,0.6033333333333334
0.775,0.6183333333333333
0.75375,0.5916666666666667
0.7883333333333333,0.595
0.7166666666666667,0.6116666666666667
0.7629166666666667,0.5833333333333334
0.8216666666666667,0.61
