train,test
0.3308333333333333,0.3466666666666667
0.31375,0.35333333333333333
0.33208333333333334,0.3283333333333333
0.34833333333333333,0.37333333333333335
0.33958333333333335,0.36
0.35791666666666666,0.375
0.32458333333333333,0.33
0.35,0.3466666666666667
0.3120833333333333,0.345
0.33541666666666664,0.35833333333333334
0.33625,0.3466666666666667
0.33375,0.3416666666666667
0.35041666666666665,0.39666666666666667
0.315,0.33166666666666667
0.3275,0.33166666666666667
0.3225,0.3383333333333333
0.33375,0.37
0.3466666666666667,0.345
0.34708333333333335,0.36666666666666664
0.35041666666666665,0.3616666666666667
0.35291666666666666,0.37833333333333335
0.35541666666666666,0.36333333333333334
0.35833333333333334,0.375
0.355,0.32
0.36333333333333334,0.3433333333333333
0.34541666666666665,0.3566666666666667
0.33208333333333334,0.325
0.33791666666666664,0.31833333333333336
0.34625,0.3466666666666667
0.35083333333333333,0.3616666666666667
0.3525,0.36
0.32666666666666666,0.355
