train,test
0.9725,0.98
0.97125,0.98
0.97375,0.98
0.9775,0.98
0.97625,0.98
0.975,0.985
0.975,0.985
0.975,0.985
0.98,0.985
0.94875,0.935
0.98,0.985
0.95,0.93
0.94,0.915
0.9575,0.935
0.99,0.985
0.96625,0.95
0.94875,0.935
0.95375,0.935
0.95125,0.93
0.96625,0.95
0.97375,0.98
0.94625,0.925
0.99375,0.995
0.97625,0.97
0.99375,0.995
0.99,0.99
0.9525,0.935
0.93875,0.92
0.9475,0.925
0.995,0.995
0.95625,0.95
0.99125,0.995
