train,test
0.9258333333333333,0.7883333333333333
1.0,0.755
1.0,0.685
1.0,0.6566666666666666
1.0,0.6416666666666667
1.0,0.6016666666666667
1.0,0.6016666666666667
1.0,0.635
1.0,0.5733333333333334
1.0,0.59
1.0,0.5816666666666667
1.0,0.5516666666666666
1.0,0.5783333333333334
1.0,0.5766666666666667
1.0,0.565
1.0,0.5666666666666667
0.9883333333333333,0.5483333333333333
1.0,0.5483333333333333
0.9925,0.5283333333333333
1.0,0.5483333333333333
1.0,0.5233333333333333
1.0,0.5366666666666666
1.0,0.5566666666666666
0.9891666666666666,0.5
0.9975,0.53
0.995,0.5183333333333333
1.0,0.5466666666666666
0.98375,0.5033333333333333
0.9654166666666667,0.5033333333333333
1.0,0.5
0.985,0.5033333333333333
0.9958333333333333,0.5416666666666666
