train,test
0.48,0.4533333333333333
0.5195833333333333,0.495
0.4845833333333333,0.5116666666666667
0.5470833333333334,0.5316666666666666
0.5675,0.525
0.56,0.5383333333333333
0.6208333333333333,0.57
0.6158333333333333,0.565
0.6375,0.5433333333333333
0.6479166666666667,0.5733333333333334
0.6145833333333334,0.5516666666666666
0.6333333333333333,0.58
0.66125,0.6083333333333333
0.665,0.58
0.6395833333333333,0.5716666666666667
0.6808333333333333,0.6083333333333333
0.6675,0.6183333333333333
0.6675,0.63
0.6766666666666666,0.6283333333333333
0.6579166666666667,0.5966666666666667
0.6725,0.6
0.6591666666666667,0.5766666666666667
0.6341666666666667,0.56
0.6504166666666666,0.5866666666666667
0.65875,0.5866666666666667
0.6454166666666666,0.5683333333333334
0.6479166666666667,0.5716666666666667
0.6470833333333333,0.5933333333333334
0.6366666666666667,0.5666666666666667
0.6391666666666667,0.5833333333333334
0.6241666666666666,0.555
0.645,0.56
