train,test
0.3720833333333333,0.365
0.51625,0.46166666666666667
0.51,0.4583333333333333
0.5470833333333334,0.5383333333333333
0.5454166666666667,0.5116666666666667
0.605,0.54
0.6379166666666667,0.555
0.6266666666666667,0.5516666666666666
0.6425,0.5733333333333334
0.6554166666666666,0.585
0.6395833333333333,0.5366666666666666
0.65125,0.5416666666666666
0.6816666666666666,0.5566666666666666
0.70625,0.5716666666666667
0.69875,0.6233333333333333
0.7008333333333333,0.5883333333333334
0.7241666666666666,0.6083333333333333
0.7533333333333333,0.625
0.7533333333333333,0.5883333333333334
0.7541666666666667,0.605
0.7491666666666666,0.59
0.7404166666666666,0.59
0.7633333333333333,0.575
0.7779166666666667,0.585
0.7854166666666667,0.6016666666666667
0.77625,0.5716666666666667
0.7670833333333333,0.575
0.78375,0.6016666666666667
0.7741666666666667,0.595
0.76375,0.5733333333333334
0.7466666666666667,0.5483333333333333
0.725,0.5633333333333334
