train,test
0.37125,0.35
0.4325,0.41
0.37875,0.35
0.47,0.445
0.4225,0.43
0.48875,0.505
0.435,0.415
0.53,0.45
0.59875,0.475
0.45875,0.415
0.49,0.465
0.49125,0.455
0.5975,0.525
0.55,0.49
0.53625,0.53
0.57875,0.51
0.645,0.56
0.63875,0.49
0.6075,0.5
0.53375,0.445
0.59125,0.495
0.615,0.515
0.5025,0.45
0.5425,0.445
0.4975,0.5
0.50875,0.425
0.505,0.475
0.4975,0.47
0.52,0.485
0.3775,0.32
0.44125,0.37
0.46,0.38
