layer,prob_avg,logprob_avg
layer_0,0.31195849530837116,3.025492410098805
layer_1,0.31329282732570873,2.8865907556870405
layer_2,0.31209716095643886,3.0127626306870403
layer_3,0.3121291532235987,2.956328807157629
layer_4,0.31194470349480125,2.711521821863511
layer_5,0.3119061217588537,2.522505277745864
layer_6,0.3110011423335356,2.5129924100988053
layer_7,0.30904828099643483,2.5001936968635112
layer_8,0.3089385600651012,1.8226431453929228
layer_9,0.2833650013979743,2.0788184670840995
layer_10,0.2574347089318668,1.7000213623046876
layer_11,0.21016688487109017,1.4964224422679229
layer_12,0.10009690312778248,0.7449044620289522
layer_13,0.1143236146253698,0.7606816908892463
layer_14,0.0766647408990299,0.6799494126263786
layer_15,0.15015284454121308,0.9871824376723346
layer_16,0.05482230747447294,0.3414954690372243
layer_17,0.040588213415706856,0.3050142176011029
layer_18,0.02317831656512092,0.2760682947495404
layer_19,0.009549895454855526,0.15369675580193015
layer_20,0.0175061352112714,0.21639853084788602
layer_21,0.014281382280237535,0.20756297392003675
layer_22,0.009994816078859218,0.1518301571116728
layer_23,0.005958515756270465,0.09090001723345588
layer_24,0.007889712558073156,0.14995565975413602
layer_25,-0.00178071050082936,0.014585248161764706
layer_26,-0.004395187602323644,-0.02031106387867647
layer_27,0.002333568825441248,-0.0016348446116727941
layer_28,0.0017409436842974494,0.01822384105009191
layer_29,0.0061817323460298425,0.02791765998391544
layer_30,0.0053890003877527575,0.03599117503446691
layer_31,-0.0010870751212624943,-0.03134711770450368
