layer,prob_avg,logprob_avg
layer_0,0.05928709444246794,0.8968415912828948
layer_1,0.05878632256859227,0.5971499794407895
layer_2,0.06009270768416555,1.1396458675986842
layer_3,0.059173762798309326,0.5449912623355263
layer_4,0.05930761663537276,0.728173828125
layer_5,0.058183209519637256,0.2882478412828947
layer_6,0.06065251199822677,0.6337864925986842
layer_7,0.06254627265428242,0.4231676603618421
layer_8,0.05750978055753206,0.20692588404605264
layer_9,0.05464345467718024,0.420654296875
layer_10,0.07358283871098568,0.7311960320723684
layer_11,0.04635151185487446,0.3150570518092105
layer_12,0.03762253711098119,0.26809467516447366
layer_13,0.03545411260504472,0.30246196546052634
layer_14,0.03556641779447857,0.2508275082236842
layer_15,-0.0058365784193340105,-0.08337273848684211
layer_16,-0.0010851439676786724,-0.05378546463815789
layer_17,0.021330394242939196,0.055144942434210524
layer_18,0.014007325548874704,0.08644634046052632
layer_19,-0.004437217586918881,-0.10778937088815789
layer_20,0.0025928848668148644,0.010165244654605263
layer_21,0.004438018798828125,0.010510896381578948
layer_22,0.001996251156455592,-0.014779502467105262
layer_23,0.0023565304906744706,-0.047959498355263155
layer_24,0.0015359571105555483,0.0028063322368421053
layer_25,0.0038357207649632502,0.007321648848684211
layer_26,2.8482863777562192e-05,-0.02425729851973684
layer_27,0.0015841239377071983,-0.01859837582236842
layer_28,0.0013627635805230393,-0.02392064144736842
layer_29,-0.0016695806854649595,-0.0644299958881579
layer_30,-0.0004154399821632787,-0.023082853618421054
layer_31,0.001043293978038587,-0.024385793585526314
