train,test
0.35,0.3983333333333333
0.5483333333333333,0.5383333333333333
0.5258333333333334,0.465
0.5633333333333334,0.53
0.5741666666666667,0.5366666666666666
0.6066666666666667,0.5
0.6104166666666667,0.5683333333333334
0.6370833333333333,0.56
0.6579166666666667,0.5416666666666666
0.6491666666666667,0.5416666666666666
0.65125,0.5383333333333333
0.6841666666666667,0.5816666666666667
0.6870833333333334,0.5683333333333334
0.71625,0.55
0.7125,0.605
0.7291666666666666,0.5983333333333334
0.7133333333333334,0.6
0.72625,0.5816666666666667
0.7675,0.5866666666666667
0.7408333333333333,0.6033333333333334
0.775,0.585
0.7616666666666667,0.56
0.79625,0.565
0.81,0.5683333333333334
0.8025,0.55
0.79375,0.57
0.8166666666666667,0.555
0.8083333333333333,0.5616666666666666
0.81,0.5766666666666667
0.81,0.5583333333333333
0.81125,0.5683333333333334
0.7266666666666667,0.5366666666666666
